date,cases,rain_lagged,year,year_str,era,rain_date
2015-08-16,2460,7.1,2015,2015,Pre-lockdown (2014–2020),2015-06-21
2015-08-23,2429,1.7,2015,2015,Pre-lockdown (2014–2020),2015-06-28
2015-08-30,2239,20.3,2015,2015,Pre-lockdown (2014–2020),2015-07-05
2015-09-06,2627,11.9,2015,2015,Pre-lockdown (2014–2020),2015-07-12
2015-09-13,2334,33.9,2015,2015,Pre-lockdown (2014–2020),2015-07-19
2015-09-20,1938,10.8,2015,2015,Pre-lockdown (2014–2020),2015-07-26
2015-09-27,2089,6.5,2015,2015,Pre-lockdown (2014–2020),2015-08-02
2015-10-04,2271,36.3,2015,2015,Pre-lockdown (2014–2020),2015-08-09
2015-10-11,2153,32.6,2015,2015,Pre-lockdown (2014–2020),2015-08-16
2015-10-18,2319,11.1,2015,2015,Pre-lockdown (2014–2020),2015-08-23
2015-10-25,2169,6.5,2015,2015,Pre-lockdown (2014–2020),2015-08-30
2015-11-01,2153,6.1,2015,2015,Pre-lockdown (2014–2020),2015-09-06
2015-11-08,2122,20.4,2015,2015,Pre-lockdown (2014–2020),2015-09-13
2015-11-15,2201,37.9,2015,2015,Pre-lockdown (2014–2020),2015-09-20
2015-11-22,2090,27.6,2015,2015,Pre-lockdown (2014–2020),2015-09-27
2015-11-29,2122,30.6,2015,2015,Pre-lockdown (2014–2020),2015-10-04
2015-12-06,2241,16.299999999999997,2015,2015,Pre-lockdown (2014–2020),2015-10-11
2015-12-13,2392,20.7,2015,2015,Pre-lockdown (2014–2020),2015-10-18
2015-12-20,2447,23.4,2015,2015,Pre-lockdown (2014–2020),2015-10-25
2015-12-27,2542,96.2,2015,2015,Pre-lockdown (2014–2020),2015-11-01
2016-01-03,3318,75.9,2016,2016,Pre-lockdown (2014–2020),2015-11-08
2016-01-10,3492,70.6,2016,2016,Pre-lockdown (2014–2020),2015-11-15
2016-01-17,3642,97.2,2016,2016,Pre-lockdown (2014–2020),2015-11-22
